1,2348372,4
1,3216007,5
1,1261560,5
1,3138847,5
1,1044177,5
1,3142118,5
1,3234345,5
1,3151575,5
1,4219500,5
1,1116367,5
1,1054889,5
1,1048173,5
1,3225658,5
1,3343988,5
1,3574119,5
1,1322025,5
1,1865089,5
2,2354909,4
2,4733766,4
3,1319820,4
3,1264793,5
3,1264791,3
3,1264792,4
3,1264120,3
3,1038663,5
3,1808582,3
3,2044295,4
4,1210717,5
4,1904516,5
5,1976077,3
5,1331524,4
5,1860568,4
6,1082975,3
6,3254065,3
6,3783393,3
6,3572721,3
6,4002722,3
6,2243733,3
7,1828111,3
7,1073068,5
7,2304798,5
7,1148767,5
8,1483332,4
8,3441248,3
8,2182413,5
9,3327495,5
9,3701270,5
10,1019765,3
10,2074902,3
10,2021169,4
10,1988066,4
11,1007178,5
11,1334569,4
11,2297706,4
11,1794844,4
11,2297697,4
11,3140801,4
11,2052049,5
12,1016053,3
12,2256039,5
12,3403514,4
12,2256438,4
12,3616310,5
13,1256282,3
13,1292443,4
13,1014189,3
13,3142718,4
13,1829799,3
13,2147254,4
13,2177160,3
13,1159935,4
13,2382080,4
13,4132764,4
13,1393894,4
13,2137632,5
13,1949068,4
13,3248636,4
13,1812843,4
13,1320205,4
13,2035162,4
13,1171170,3
13,2243630,3
13,1061563,4
13,2261243,4
13,1041238,4
13,1491766,4
13,1400705,4
13,1256991,3
13,2165084,4
13,1057582,3
13,3796586,4
13,1962078,4
13,4038641,4
13,1546181,3
13,1287449,4
13,2058784,3
13,1047205,4
13,2382924,4
13,1221020,3
13,1082269,3
13,3017857,5
13,1035333,4
13,1264527,4
13,1764927,4
13,1070175,5
13,3010128,4
14,1448939,5
14,1027648,5
15,3653910,5
15,1982096,4
16,2118032,4
16,1336968,4
16,1316648,4
17,3664754,4
17,1343004,5
17,1041283,4
17,1937939,5
17,2239244,4
17,3198437,2
17,2138920,4
17,3316422,5
17,2006373,4
17,3097090,5
17,4152754,3
17,1000914,4
17,1056868,5
18,3009033,4
18,1213945,4
18,3124525,4
18,1980436,4
18,3218229,4
19,3199916,5
19,5289426,3
19,1899364,4
19,4263233,4
19,1924373,3
19,1086249,4
20,3924138,4
20,1051492,5
20,1060852,4
21,3706295,4
21,1786376,4
21,2077207,3
21,2336105,3
21,3825795,3
21,2016590,3
21,3644793,3
21,1317893,5
21,1805988,4
21,1369537,3
21,2190826,2
21,1072508,4
21,2060151,3
21,2252684,4
21,1124323,4
21,2287653,3
21,2127758,3
21,2113887,3
21,1987986,3
21,2083826,4
21,1507365,4
21,1999795,4
21,2264147,5
21,1222136,3
21,2108483,1
21,2083922,4
21,1784396,3
21,1349092,5
21,2161159,4
21,2060283,1
21,2210261,2
21,1844849,3
21,2060285,1
21,1781936,4
21,1272858,4
21,3389954,4
21,1394237,4
21,2046049,3
21,3159899,2
21,1181370,5
21,2138397,5
